NO.,CLINIC NAME,CLINIC ADDRESS,E-MAIL ADDRESS,TELEPHONE NO.,LONGITUDE,LATITUDE
109,KLINIK DR AZIZAH,"G29 JALAN PANDAN PRIMA 1,DATARAN PANDAN PRIMA,KL55100WILAYAH PERSEKUTUAN KUALA LUMPUR",kdapandan@gmail.com,03-92007515,101.7413623,3.1426007
110,KLINIK DR KHALIL,2428 JALAN E 3/6ATAMAN EHSANKEPONG52100WILAYAH PERSEKUTUAN KUALA LUMPUR,drkhalilramli@hotmail.com,03-62724086,101.6247386,3.2221832
111,KLINIK DR NURUL,"NO.29,JALAN DAMAI NIAGA SATU,ALAM DAMAI,CHERAS56000WILAYAH PERSEKUTUAN KUALA LUMPUR",fazmediheart@gmail.com,03-91081189,101.7374129,3.074348
112,KLINIK DR. AALIA,"NO.18, JALAN 20C/146,DESA TASEK SUNGAI BESISUNGAI BESI57000WILAYAH PERSEKUTUAN KUALA LUMPUR",klinikdraalia@gmail.com,01111474818,101.71553,3.069445
113,KLINIK DR. MONTY,"NO 19-G,JALAN PANDAN INDAH 4/34,PANDAN INDAH,CHERAS55100WILAYAH PERSEKUTUAN KUALA LUMPUR",eddie_selvan@yahoo.com,03-42971964,101.7532009,3.1335159
114,KLINIK DR.OORLOFF DAN RAKAN RAKAN,1ST FLR WISMA PENG WAH86-88 JLN BUKIT  BINTANG (ABOVE KFC CORNER OUTLET)KUALA LUMPUR55100WILAYAH PERSEKUTUAN KUALA LUMPUR,clinic2u@gmail.com,03-21423335,101.7101483,3.1461515
115,KLINIK DR.SHASHIKALA SDN.BHD.,"NO.763 BATU  4 1/2 JALAN IPOH ,KUALA LUMPUR51200WILAYAH PERSEKUTUAN KUALA LUMPUR",drshashikala@gmail.com,03-62513099,101.6745512,3.2023691
116,"KLINIK DRS ABRAHAM ,GEORGE & PARTNERS","LEVEL ONE ,MENARA MANULIFE ,JALAN GELENGGANG  .DAMANSARA HEIGHTS 50490 KUALA LUMPURKUALA LUMPUR50490WILAYAH PERSEKUTUAN KUALA LUMPUR",dr.sundarie_kagp@yahoo.com,03-20958182,101.6633385,3.1512976
117,KLINIK ELAMEDIC,"6-11-G, JALAN 14/155B (JALAN JALIL PERKASA14), AKED ESPLANADBUKIT JALIL57000WILAYAH PERSEKUTUAN KUALA LUMPUR",kavitaadchalingam@yahoo.com,03-89939533,101.6798001,3.0508671
118,KLINIK FAMILI,"26,JALAN 59/10,TAMAN KOPERASI POLIS FASA 2BATU CAVES68100WILAYAH PERSEKUTUAN KUALA LUMPUR",nikonkoled@yahoo.com,0361860704,101.6911949,3.2201574
119,KLINIK FAMILI BTS SDN BHD,NO 23 GF JALAN TASIK SELATAN 8BANDAR TASIK SELATANKUALA LUMPUR57000WILAYAH PERSEKUTUAN KUALA LUMPUR,klinikfamilibts@gmail.com,03-90596341,101.7142305,3.067796
120,KLINIK FAMILI SOO,"NO.65G,JALAN KUCHAI MAJU 1,DYNASTY 2,OFF JALAN KUCHAI LAMAKUALA LUMPUR58200WILAYAH PERSEKUTUAN KUALA LUMPUR",drsootk@yahoo.com,03-79838395,101.6871631,3.0909377
121,KLINIK FAMILI TTDI SDN BHD,"LOT 21,GROUND FLOOR, JALAN 2/71,TAMAN TUN DR ISMAILKUALALUMPUR60000WILAYAH PERSEKUTUAN KUALA LUMPUR",kfttdi@yahoo.com,03-77276671,101.6255459,3.146122
122,KLINIK FAMILI WANGSA MELAWATI,NO 5 JALAN WANGSA SETIA 1WANGSA MELAWATIKUALA LUMPUR53300WILAYAH PERSEKUTUAN KUALA LUMPUR,DRAZIZ_FAMILI@YAHOO.COM,0341435067,101.7434654,3.2091136
123,KLINIK FAMILLE OUG SDN BHD,"42,JLN HUJAN EMAS 4, TAMAN OVERSEAS UNIONKUALA LUMPUR58200WILAYAH PERSEKUTUAN KUALA LUMPUR",klinikoug@gmail.com,03-77822390,101.6724594,3.0744412
124,KLINIK FAMILY CARE,"NO.5-0-9 JALAN 3/109F DANAU BUSINESS CENTRE, TAMAN DANAU DESAOLD KLANG ROADKUALA LUMPUR58100WILAYAH PERSEKUTUAN KUALA LUMPUR",familycareclinic@gmail.com,03-79807318,101.6871159,3.1005606
125,KLINIK FAMILYCARE,"NO 5-G, BLOK 6, JALAN JALIL JAYA 7, JALIL LINKBUKIT JALIL57000WILAYAH PERSEKUTUAN KUALA LUMPUR",klinik_familycare@yahoo.com.my,03-89939028,101.6732861,3.0600464
126,KLINIK FAMILYCARE,7 PERSIARAN ARA KIRILUCKY GARDEN BANGSARKUALA LUMPUR59100WILAYAH PERSEKUTUAN KUALA LUMPUR,drselva@clinicfamilycare.com,0322022285,101.6181157,3.1903791
127,KLINIK FAUZIAH DAN RAKAN RAKAN,"111,JALAN KG PANDANKUALA LUMPUR55100WILAYAH PERSEKUTUAN KUALA LUMPUR",anna641@live.com,0392850268,101.73078,3.144219
128,KLINIK GAN DAN LIM,"12, JALAN PANDAN INDAH 1/18, PANDAN INDAHKUALA LUMPUR55100WILAYAH PERSEKUTUAN KUALA LUMPUR",drtkgan@gmail.com,0392747139,101.7518304,3.1302567
129,KLINIK GENTING UNI-MED,"8TH FLOOR,WISMA GENTING,JALAN SULTAN ISMAILKUALA LUMPUR50250WILAYAH PERSEKUTUAN KUALA LUMPUR",klinikunimed@gmail.com,03-21636979,101.7110105,3.1506026
130,KLINIK GOH DAN RAKAN RAKAN,A12A.FLR. WISMA LIM FOO YONG 86 JLN RAJA CHULANKUALA ;LUMPUR50200WILAYAH PERSEKUTUAN KUALA LUMPUR,gohgordon@hotmail.com,03-21410362,101.693996,3.1476473
131,KLINIK H.T. LEE,"7, JALAN MUTIARA RAYATAMAN MUTIARAKUALA LUMPUR56000WILAYAH PERSEKUTUAN KUALA LUMPUR",khtlee1980@gmail.com,0391306806,101.7404047,3.0887111
132,KLINIK HALIM & SURGERI,NO:126 JALAN RAJA ABDULLAHKAMPUNG BARUKUALA LUMPUR50300WILAYAH PERSEKUTUAN KUALA LUMPUR,k_halim_kgb@yahoo.com.my,03-26911964,101.702854,3.1641438
133,KLINIK HASILCARE,"LHDNM, CAWANGAN DUTA UNIT 1, ARAS BAWAH BLOK 11,KOMPLEKS KERAJAAN JALAN DUTA, JALAN TUANKU ABDUL HALIMKUALA LUMPUR.50480WILAYAH PERSEKUTUAN KUALA LUMPUR",draneesah@pluxhealth.com,0362114666,101.6722731,3.1746362
134,KLINIK HEALTHCARE DAN SURGERI,"9, 3RD MILE SQUARE,JALAN KLANG LAMAKUALA LUMPUR58200WILAYAH PERSEKUTUAN KUALA LUMPUR",khshealthcare@gmail.com,03-79720202,101.6773792,3.104111
135,KLINIK HEALTHMATE,"NO.58G, WISMA ALAM DAMAI, JALAN ALAM DAMAI 1,ALAM DAMAICHERAS56000WILAYAH PERSEKUTUAN KUALA LUMPUR",klinikhealthmate@gmail.com,0391078262,101.7427466,3.0712924
136,KLINIK HERO,"NO 22-G, JALAN WANGSA DELIMA 11, D'WANGSA,WANGSA MAJU53300WILAYAH PERSEKUTUAN KUALA LUMPUR",klinikhero@gmail.com,0109285854,101.7410962,3.1974142
137,KLINIK HO N HO,"NO.33&35, JALAN 4/96A, TAMAN CHERAS MAKMURCHERAS56100WILAYAH PERSEKUTUAN KUALA LUMPUR",klinikhonho@gmail.com,03-91309812,101.7401727,3.101624
138,"KLINIK HONG,LEE&YAP","11 JALAN BUNGA TANJUNG TUJUH,TAMAN MUDA,CHERAS.KUALA LUMPUR56100WILAYAH PERSEKUTUAN KUALA LUMPUR",chenghoo23@hotmail.com,03-42935840,101.75958,3.1202093
139,KLINIK HOPE,"19, JLN 2/128, JLN KUCHAI LAMA, TMN GEMBIRATAMAN GEMBIRAKUALA LUMPUR58200WILAYAH PERSEKUTUAN KUALA LUMPUR",klinikhope2@gmail.com,03-79713057,101.6814328,3.0834307
140,KLINIK HUSIN,"NO.36,LORONG RAHIM KAJAI 14,TAMAN TUN DR ISMAIL,KUALA LUMPUR60000WILAYAH PERSEKUTUAN KUALA LUMPUR",janaziz10@gmail.com,03-77101220,101.6229279,3.1554492
141,KLINIK IAN ONG,3A-09 PLAZA 138138 JALAN AMPANGKUALA LUMPUR50450WILAYAH PERSEKUTUAN KUALA LUMPUR,benacre@pd.jaring.my,03-27157488,101.707946,3.1589687
142,KLINIK ICON,"E-05-05A, EAST WING, THE ICONJALAN 1/68F, JALAN TUN RAZAKKUALA LUMPUR50400WILAYAH PERSEKUTUAN KUALA LUMPUR",klinik.icon@gmail.com,03-28566105,101.6942497,3.1405315
143,KLINIK ICON BUKIT JALIL,"C-9-G, LINK 2, JALAN JALIL PERKASA 1,BUKIT JALIL 57000 KUALA LUMPURBUKIT JALIL57000WILAYAH PERSEKUTUAN KUALA LUMPUR",klinik.icon.bukitjalil@gmail.com,0386568818,101.6786783,3.0522998
144,KLINIK IDEAL,"NO 8, JALAN 11/55CTAMAN SETIAWANGSAKUALA LUMPUR54200WILAYAH PERSEKUTUAN KUALA LUMPUR",idealhealthcentre@hotmail.com,03-42666929,101.7419829,3.1852905
145,KLINIK IDZHAM,"9135, JALAN BANDAR EMPAT, TAMAN MELAWATI,NO 18 JALAN MERANTI 2/1,TAMAN MELAWATI JAYA 45000 KUALA SELANGOR ,SELANGORKUALA LUMPUR53100WILAYAH PERSEKUTUAN KUALA LUMPUR",kisbtm01@yahoo.com,03-41073939,101.7519084,3.2106561
146,KLINIK IDZHAM,"NO. 2G, JALAN JERNAI 3, MEDAN IDAMAN, BATU 5, JALAN GOMBAKKUALA LUMPUR53100WILAYAH PERSEKUTUAN KUALA LUMPUR",klinikidzham@gmail.com,03-40229007,101.7119289,3.2117391
147,KLINIK IDZHAM,"NO. 41/AAB, PERSIARAN MPAJ, JALAN PANDAN INDAHPANDAN INDAHKUALA LUMPUR55100WILAYAH PERSEKUTUAN KUALA LUMPUR",kisbpi@yahoo.com,03-42801945,101.7529544,3.1277953
148,KLINIK IDZHAM,"NO. 2-2-4, PRIMA PENINSULA, JALAN SETIAWANGSA 11,TAMAN SETIAWANGSA,KUALA LUMPUR54200WILAYAH PERSEKUTUAN KUALA LUMPUR",kisbts@yahoo.com,03-42563939,101.7431353,3.179509
149,KLINIK IMAN,"NO 4, JALAN PDS 1, OFF JALAN AU3/10TAMAN SEPAKATKUALA LUMPUR54200WILAYAH PERSEKUTUAN KUALA LUMPUR",kliman2002@gmail.com,03-41068463,101.7129131,3.1386564
150,KLINIK IMED,A-13 JALAN TUANKU 1TAMAN SALAK SELATANKUALA LUMPUR57100WILAYAH PERSEKUTUAN KUALA LUMPUR,frontdesk@imed2u.com,0172812685,101.6826804,3.1628831
151,KLINIK INDAH,NO 10 JALAN PANDAN INDAH1/23D PANDAN INDAHKUALA LUMPUR55100WILAYAH PERSEKUTUAN KUALA LUMPUR,saromaniam@hotmail.com,0392742658,101.7455028,3.1319469
152,KLINIK INTER-MED,"NO. 43, JALAN BANGSAR,KUALA LUMPUR59000WILAYAH PERSEKUTUAN KUALA LUMPUR",intermedbangsar@gmail.com,03-22828027,101.67925,3.1282
153,KLINIK INTER-MED,"43, JALAN TUN TAN SIEW SIN, KUALA LUMPURWP KUALA LUMPURKUALA LUMPUR50050WILAYAH PERSEKUTUAN KUALA LUMPUR",intermed_53@yahoo.com,03-20722087,101.6982163,3.1461937
154,KLINIK K K WONG,329 JALAN PAHANG SETAPAK KLKL53000WILAYAH PERSEKUTUAN KUALA LUMPUR,wongketkeong@gmail.com,03-40235983,101.7024723,3.1864547
155,KLINIK KEE,NO 10 JALAN BANDAR DUA TAMAN MELAWATIKUALA LUMPUR53100WILAYAH PERSEKUTUAN KUALA LUMPUR,KLINIKKEEMELAWATI@GMAIL.COM,03-41081678,101.7521378,3.2091861
156,KLINIK KELUARGA,"NO.28, JALAN 1A/27ASEKSYEN 1 WANGSA MAJUSETAPAK53300WILAYAH PERSEKUTUAN KUALA LUMPUR",Kkis_59@yahoo.com,03-41494007,101.7322012,3.2014274
157,KLINIK KELUARGA,"18-0-3 TAMAN BUKIT ANGKASA, PANTAI DALAMKUALA LUMPUR59200WILAYAH PERSEKUTUAN KUALA LUMPUR",drzaikk@yahoo.co.uk,0322849750,101.6697211,3.108318
158,KLINIK KELUARGA DR DAHLIA (MENARA MATRADE),"4TH FLOOR EAST WING MENARA MATRADE, JALAN KHIDMAT USAHA OFF JALAN DUTA,KUALA LUMPUR50480WILAYAH PERSEKUTUAN KUALA LUMPUR",klinikmatrade@yahoo.com,03-62036542,101.6667175,3.1775662
159,KLINIK KELUARGA DR. DAHLIA,"35G, JALAN 3A/2B TAMAN DESA BAKTISELAYANG68100WILAYAH PERSEKUTUAN KUALA LUMPUR",clinicdahliatdb@gmail.com,03-61379717,101.6612254,3.2425752
160,KLINIK KELUARGA WAN ISSAC,"NO 58, JALAN DAMAI RAYA 2,DAMAI NIAGA, ALAM DAMAI,CHERAS56000WILAYAH PERSEKUTUAN KUALA LUMPUR",issac.klinik1issac@gmail.com,03-89587989,101.7440884,3.0635436
161,KLINIK KHOR,42 JALAN 8/23E DANAU KOTAKUALA LUMPUR53300WILAYAH PERSEKUTUAN KUALA LUMPUR,yeetmun@gmail.com,03-41499988,101.7207886,3.2058576
162,KLINIK KIP SDN BHD,"NO.10,JALAN KIP 1,TAMAN PERINDUSTRIAN KIP,KEPONG52200WILAYAH PERSEKUTUAN KUALA LUMPUR",klinikkip@yahoo.com,03-62764346,101.6071935,3.2056119
163,KLINIK KITA,"12G, JALAN PANDAN INDAH 4/6,PANDAN INDAH,KUALA LUMPUR55100WILAYAH PERSEKUTUAN KUALA LUMPUR",alprompin@yahoo.com,03-42945821,101.7550073,3.1303376
164,KLINIK KITA,"UNIT 43-0-12, GROUND FLOOR, JALAN 1/48A,SENTUL PERDANA, BANDAR BARU SENTULKUALA LUMPUR51000WILAYAH PERSEKUTUAN KUALA LUMPUR",kksentulperdana@yahoo.com,03-40400446,101.6895585,3.2074537
165,KLINIK KITA POLIKLINIK DAN SURGERI,"KLINIK KITA,NO. 13G,JLN HILIR 1,TMN SRI ANGSANA HILIR,KG. PANDAN,K. LUMPUR55100WILAYAH PERSEKUTUAN KUALA LUMPUR",kkbba516@gmail.com,03-92821021,101.7443356,3.1489888
166,KLINIK KOO,"92, JALAN BURHANUDDIN HELMI,TAMAN TUN DR ISMAIL,KUALA LUMPUR60000WILAYAH PERSEKUTUAN KUALA LUMPUR",klinikkoo@hotmail.com,03-77282379,101.6214273,3.1526079
167,KLINIK KU,"BLOK 1A, 9-1, JALAN WANGSA DELIMA 13,WANGSA LINKWANGSA MAJU53300WILAYAH PERSEKUTUAN KUALA LUMPUR",klinikkuwangsamaju@gmail.com,03-41490801,101.7426155,3.1975107
168,KLINIK KWAN,KLINIK KWAN 1-0-12 DIAMOND SQUARE JALAN 1/50OFF JALAN GOMBAKKUALA LUMPUR53000WILAYAH PERSEKUTUAN KUALA LUMPUR,clinickwan7715@gmail.com,0123300405,101.706156,3.19497
169,KLINIK KWAN & CHONG,100G JALAN RIMBUNAN RAYATAMAN LAMAN RIMBUNANKEPONG52100WILAYAH PERSEKUTUAN KUALA LUMPUR,frontdesk@healthcare-2u.com,0179930023,101.6488717,3.2122027
170,KLINIK LEE,"66 JALAN CERDAS, TAMAN CONNAUGHT, 6TH MILE CHERAS,KUALA LUMPUR56000WILAYAH PERSEKUTUAN KUALA LUMPUR",drdavidleebankin@gmail.com,03-91017202,101.7372995,3.08144
171,KLINIK LEE,"NO. 71, JALAN HAJI HUSSEIN,50300 WP KUALA LUMPURKUALA LUMPUR50300WILAYAH PERSEKUTUAN KUALA LUMPUR",Shanyan46@Hotmail.my,03-26930467,101.6992106,3.1656571
172,KLINIK LEELA,"249 JALAN MAHKOTA, 55100 KUALA LUMPURKUALA LUMPUR55100WILAYAH PERSEKUTUAN KUALA LUMPUR",leela249@hotmail.com,03-92851761,101.7330041,3.1278847
173,KLINIK LEELA,NO.69 JALAN 3/76DDESA PANDANKUALA LUMPUR55100WILAYAH PERSEKUTUAN KUALA LUMPUR,klinikleela.dp@gmail.com,0392017279,101.7503253,3.1560618
174,KLINIK LEN SENG,76G JALAN 1TAMAN LEN SENGCHERAS56000WILAYAH PERSEKUTUAN KUALA LUMPUR,admaanhs@gmail.com,0391075362,101.744906,3.07427
175,KLINIK LEONG,"NO 208, JALAN MAHKOTA, TAMAN MALURICHERAS55100WILAYAH PERSEKUTUAN KUALA LUMPUR",cheongpeng@yahoo.com,03-92020681,101.7323201,3.12925
176,KLINIK LIEW & SURGERI,"LOT 18, JALAN 54 DESA JAYA,KEPONG52100WILAYAH PERSEKUTUAN KUALA LUMPUR",lhliew@hotmail.com,0362763505,101.6318701,3.2134836
177,KLINIK LIFE CARE,"KLINIK LIFE CARE, GROUND FLOOR, WISMA LIFE CARE, NO.5 JALAN KERINCHIBANGSAR SOUTH59200WILAYAH PERSEKUTUAN KUALA LUMPUR",kliniklc@lifecare.com.my,03-22421656,101.6636141,3.1101571
178,KLINIK LIM,"52, GROUND FLOOR, JALAN LANG KUNINGKEPONG BARUKUALA LUMPUR52100WILAYAH PERSEKUTUAN KUALA LUMPUR",mingaun@yahoo.com,03-62741471,101.64473,3.192777
179,KLINIK LOPEZ,"LOT G-30, GROUND FLOOR, VIVA HOME MALL,NO. 85, JALAN LOKE YEWCHERAS55200WILAYAH PERSEKUTUAN KUALA LUMPUR",kliniklopez@gmail.com,03-27427223,101.7189936,3.1225319
180,KLINIK LOW,"20, JALAN 1/27B,DESA SETAPAKKUALA LUMPUR53300WILAYAH PERSEKUTUAN KUALA LUMPUR",kliniklow601@gmail.com,03-41497801,101.7340972,3.2063358
181,KLINIK LUDHER SDN BHD,"4-1, COMMERCE ONE, LORONG 2/173COFF JALAN KELANG LAMAWILAYAH PERSEKUTUAN58200WILAYAH PERSEKUTUAN KUALA LUMPUR",klok@qualitas.com.my,03-77813542,101.6714313,3.0849942
182,KLINIK MAAMOR,"NO. 8G, JALAN 20C/146, DESA TASIK,SUNGAI BESI57000WILAYAH PERSEKUTUAN KUALA LUMPUR",masteh77@yahoo.com,03-90593651,101.7142925,3.0719828
183,KLINIK MAJU SDN BHD,"NO 7 JALAN 2A/6TAMAN SETAPAK INDAH, SETAPAKKUALA LUMPUR53300WILAYAH PERSEKUTUAN KUALA LUMPUR",jenniejena_j@yahoo.com,03-40211235,101.718117,3.210222
184,KLINIK MALURI,"198, JALAN MAHKOTA, TAMAN MALURI,CHERASKUALA LUMPUR55100WILAYAH PERSEKUTUAN KUALA LUMPUR",lee.shereen@yahoo.com,03-92852349,101.7321126,3.1296439
185,KLINIK MANIRAJ,"2-11A, CITY ONE PLAZAJALAN MUNSHI ABDULLAHKUALA LUMPUR50100WILAYAH PERSEKUTUAN KUALA LUMPUR",klinikmaniraj@gmail.com,0326937188,101.6980047,3.1552049
186,KLINIK MED HEALTH,"A6, JALAN DANAU LUMAYAN 1 , BANDAR SRI PERMAISURIKUALA LUMPUR56000WILAYAH PERSEKUTUAN KUALA LUMPUR",medhealthnic@gmail.com,03-91717889,101.715832,3.1001687
187,KLINIK MEDI PEMBANGUNAN,"TINGKAT BAWAH, BANGUNAN MALAYSIAN RE,NO.17, LORONG DUNGUN,DAMANSARA HEIGHTSKUALA LUMPUR50490WILAYAH PERSEKUTUAN KUALA LUMPUR",drmimi@klinikpembangunan.com,03-20944688,101.6656162,3.1545361
188,KLINIK MEDI PESONA,NO 1 GROUND FLOORJALAN BANGSAR UTAMA 3 BANGSAR UTAMAKL59000WILAYAH PERSEKUTUAN KUALA LUMPUR,neetzar@yahoo.com,03-22881439,101.6781558,3.1269423
189,KLINIK MEDI UK,"494 JALAN PUDU,KUALA LUMPURKUALA LUMPUR55100WILAYAH PERSEKUTUAN KUALA LUMPUR",yeechianglee@yahoo.co.uk,03-92221678,101.7140241,3.1339734
190,KLINIK MEDI-LINK,"LOT 1.33, TINGKAT 1, WISMA MPLJALAN RAJA CHULANKUALA LUMPUR50200WILAYAH PERSEKUTUAN KUALA LUMPUR",medilink132@yahoo.com,03-20319899,101.707056,3.150523
191,KLINIK MEDIC,4 A JALAN DAMAI PERDANA 1/8CBANDAR DAMAI PERDANAKUALA LUMPUR56000WILAYAH PERSEKUTUAN KUALA LUMPUR,cajoton@gmail.com,03-91021346,101.7404029,3.0472844
192,KLINIK MEDIC CITY,"NO.92,GROUND FLOOR,JLN TUN SAMBANTHAN,50470 BRICKFIEDLS KUALA LUMPURBRICKFIELDS50470WILAYAH PERSEKUTUAN KUALA LUMPUR",mediccity@ymail.com,03-22742730,101.6871713,3.1313086
193,KLINIK MEDICA,"NO.3,GROUND FLOOR,JALAN 6/155,BUKIT JALIL INTEGRATED BUSINESS PARK(BUKIT OUG),KUALA LUMPUR58200WILAYAH PERSEKUTUAN KUALA LUMPUR",klinikmedica@gmail.com,03-77815350,101.664844,3.061986
194,KLINIK MEDICAL ASSOCIATES K.L,"22,3RD FLOOR MEDAN PASARKUALA LUMPUR50050WILAYAH PERSEKUTUAN KUALA LUMPUR",kmakl85@gmail.com,03-20703585,101.6959814,3.1473575
195,KLINIK MEDICARE,135-M JALAN MAHARAJALELAKUALA LUMPUR50150WILAYAH PERSEKUTUAN KUALA LUMPUR,d_malar1982@yahoo.com,03-21411306,101.70238,3.1367
196,KLINIK MEDICENTRE,"LOT LG,11 TINGKAT LG,KOMPLEKS DESA KEPONG,JALAN KEPONGKUALA LUMPUR52100WILAYAH PERSEKUTUAN KUALA LUMPUR",medicentre@ymail.com,03-62804259,101.6303428,3.2096844
197,KLINIK MEDICURVE,"NO. 91, JALAN RIMBUNAN RAYA 1,LAMAN RIMBUNANKEPONG52100WILAYAH PERSEKUTUAN KUALA LUMPUR",brandonlim.2177@yahoo.com,03-62437886,101.6491375,3.2115322
198,KLINIK MEDILOVE,"KLINIK MEDILOVENO 8,JALAN RIMBUNAN RAYA,LAMAN RIMBUNANKEPONG52100WILAYAH PERSEKUTUAN KUALA LUMPUR",mediloveclinic@gmail.com,0362420885,101.6516647,3.2106482
199,KLINIK MEDIMETRO,"32, JALAN 4/76C, DESA PANDANKUALA LUMPUR55100WILAYAH PERSEKUTUAN KUALA LUMPUR",drmesepiahhamid@yahoo.com,03-92830233,101.7372695,3.1485909
200,KLINIK MEDIONE,"UNIT 8.05,LEVEL 8,MENARA TA ONE,22,JLN P.RAMLEE,KUALA LUMPUR50250WILAYAH PERSEKUTUAN KUALA LUMPUR",klinikmedionekl@gmail.com,03-21815699,101.7097635,3.1565305
201,KLINIK MEDIPULSE BUKIT JALIL,"NO52 GROUND FLOOR, JALAN 17/155CBANDAR BUKIT JALILBUKIT JALIL57000WILAYAH PERSEKUTUAN KUALA LUMPUR",medipulse.bjalil@gmail.com,0389995205,101.7472299,3.1050749
202,KLINIK MEDISINAR,"NO 25, JALAN 5/38D, TAMAN SRI SINAR, SEGAMBUTKL51200WILAYAH PERSEKUTUAN KUALA LUMPUR",klinikmedisinar@gmail.com,0367301608,101.6534873,3.1891083
203,KLINIK MEDISQUARE,"B 0-8, MEGAN AVENUE 2JALAN YAP KWAN SENGKUALA LUMPUR50450WILAYAH PERSEKUTUAN KUALA LUMPUR",medisquare@hotmail.com,0321811324,101.712734,3.1628757
204,KLINIK MEDIVIRON,"B-0-5, JALAN 12.144A, TAMAN BUKIT CHERAS.CHERASKUALA LUMPUR56000WILAYAH PERSEKUTUAN KUALA LUMPUR",dinesh.paranchothy@gmail.com,03-91013184,101.74865,3.072344
205,KLINIK MEDIVIRON,"NO.1092G, GROUND FLOOR, JALAN SENTUL PASARKUALA LUMPUR51000WILAYAH PERSEKUTUAN KUALA LUMPUR",medisentul2003@live.com,03-40445609,101.6901517,3.2003662
206,KLINIK MEDIVIRON,"NO.46,JALAN TELAWI,BANGSAR BARUKUALA LUMPUR59100WILAYAH PERSEKUTUAN KUALA LUMPUR",susunantelawi@gmail.com,0322829815,101.6705589,3.1309653
207,KLINIK MEDIVIRON,"4,JALAN 3/50C,TAMAN SETAPAK INDAH JAYA,OFF JALAN GENTING KLANGSETAPAK53300WILAYAH PERSEKUTUAN KUALA LUMPUR",harjeet7@streamyx.com,03-40212620,101.7091065,3.1983822
208,KLINIK MEDIVIRON,"NO.23, JALAN BUNGA MELATI, TAMAN MAJU JAYA,AMPANG56100WILAYAH PERSEKUTUAN KUALA LUMPUR",arulrajrajoo@gmail.com,03-92009945,101.7430195,3.1286277
209,KLINIK MEDIVIRON,"12, GROUND FLOOR, BLOK A, JALAN RAMPAI NIAGA 1,RAMPAI BUSINESS PARKKUALA LUMPUR53300WILAYAH PERSEKUTUAN KUALA LUMPUR",grayson.ent@gmail.com,03-41495122,101.7293424,3.1986188
210,KLINIK MEDIVIRON,31 JALAN MEDAN PUTRA 1MEDAN PUTRA BUSINESS CENTREBANDAR MANJALARA52200WILAYAH PERSEKUTUAN KUALA LUMPUR,drvehll@yahoo.com,03-62729581,101.625682,3.1928256
211,KLINIK MEDIVIRON,"30, JALAN 2/101C, CHERAS BUSINESS CENTRE, BATU 5, JALAN CHERASCHERAS56100WILAYAH PERSEKUTUAN KUALA LUMPUR",medcbc1@live.com,03-91328671,101.7394905,3.0989376
212,KLINIK MEDIVIRON,"KLINIK MEDIVIRONN0 27 JALAN PERMAISURI 8,BDR SRI PERMAISURI CHERASCHERAS56000WILAYAH PERSEKUTUAN KUALA LUMPUR",klinikmediviron4930@yahoo.com,0391724930,101.7082047,3.102057
213,KLINIK MEDIVIRON,"NO.4, JLN DAMAI PERDANA 5/1A,BANDAR DAMAI PERDANACHERAS56000WILAYAH PERSEKUTUAN KUALA LUMPUR",medivironks_bdp@yahoo.com,03-91002393,101.7430502,3.0547034
214,KLINIK MEDIVIRON,"LG8A & LG9  LOWER GROUND FLOOR, WISMA UOA II21, JALAN PINANGKUALA LUMPUR50450WILAYAH PERSEKUTUAN KUALA LUMPUR",chenth@hotmail.com,03-21635699,101.7120336,3.1527054
215,KLINIK MEDIVIRON,"NO 3-0-3, MEGAN CORPORATE PARK,JALAN 1/125E, DESA PETALINGKUALA LUMPUR57100WILAYAH PERSEKUTUAN KUALA LUMPUR",medivirondp@gmail.com,03-90587607,101.7019161,3.0832148
216,KLINIK MEDIVIRON,"GF 18, THE WATERFRONT, 5 PERSIARAN RESIDEN, DESA PARK CITYKEPONG52200WILAYAH PERSEKUTUAN KUALA LUMPUR",veelan98@hotmail.com,03-62808395,101.6277335,3.1869487
217,KLINIK MEDIVIRON,"NO 22, BLOK 5, JALIL LINK, JALAN JALIL JAYA 6BUKIT JALIL57000WILAYAH PERSEKUTUAN KUALA LUMPUR",medivironjalil@gmail.com,03-89939915,101.6738064,3.0589742
218,KLINIK MEDIVIRON,"NO.10,JALAN 25/70A , DESA SRI HARTAMASKL50480WILAYAH PERSEKUTUAN KUALA LUMPUR",klinik_1@yahoo.com,03-23008399,101.6501371,3.1626409
219,KLINIK MEDIVIRON,"37G, JALAN MAJU 8,OFF JALAN KLANG LAMA,KUCHAI LAMA58200WILAYAH PERSEKUTUAN KUALA LUMPUR",medikuchailama@yahoo.com,03-79876990,101.68778,3.0897144
220,KLINIK MEDIVIRON,"NO 8, JALAN UTARA OFF,JALAN IMBIKUALA LUMPUR55100WILAYAH PERSEKUTUAN KUALA LUMPUR",azizi_73@hotmail.com,03-21485666,101.7155205,3.145603
221,KLINIK MEDIVIRON,"645,JALAN IPOH BATU 4 1/2KUALA LUMPUR51200WILAYAH PERSEKUTUAN KUALA LUMPUR",klinikmedivironjlnipoh@gmail.com,03-62424999,101.6797964,3.1946254
